id,description,risk
HPC0,"Adipose tissue - pericolorectal/mesorectal adipose tissue with varying proportions of fat lobules, fibrovascular septa, stromal cells",
HPC1,"Colorectal Adenocarcinoma - characterized by irregular, crowded glands with hyperchromatic nuclei, desmoplastic stroma, variable architecture, and loss of normal crypt organization.",
HPC2,"Normal colonic mucosa with well-organized, evenly spaced crypts lined by abundant goblet cells and maintained epithelial polarity on a regular lamina propria background",
HPC3,"Tubular adenoma with dysplastic epithelium showing elongated, hyperchromatic, pseudostratified nuclei, loss of goblet cells, and crowded tubular glands with preserved but architecturally distorted crypt structure.",
HPC4,Colorectal adenocarcinoma- Infiltrating malignant glands embedded in prominent desmoplastic stroma with thick-walled vessels,high
HPC5,Normal colonic muscularis propria showing interlacing bundles of smooth muscle cells with elongated bland nuclei.,
HPC6,"Colonic muscularis propria with smooth muscle bundles showing slightly increased nuclear variability, scattered inflammatory cells, and focal red cell extravasation, likely representing muscularis propria with mild reactive changes.",
HPC7,Inflammatory  infiltrate composed predominantly lymphocytes and plasma cells with scattered eosinophils and extravasated Rbc's within the colonic wall.,
HPC8,"Normal colonic mucosa with well-organized, evenly spaced crypts lined by abundant goblet cells and maintained epithelial polarity on a regular lamina propria background",
HPC9,"Adipose tissue - pericolorectal/mesorectal adipose tissue with varying proportions of fat lobules, fibrovascular septa, stromal cells",
HPC10,Inflammatory  infiltrate composed predominantly lymphocytes and plasma cells with scattered eosinophils and extravasated Rbc s within the colonic wall.,
HPC11,Normal colonic muscularis propria showing interlacing bundles of smooth muscle cells with elongated bland nuclei .,
HPC12,"Paucicellular collagenous/fibrous stroma with scattered bland spindle cells, small vessels, and rare inflammatory cells, consistent with desmoplastic stroma",high
HPC13,"Normal colonic muscularis propria with bland smooth muscle bundles in interlacing orientations, scattered elongated nuclei, and small intervening capillaries.",
HPC14,"Tubular adenoma fragments with dysplastic columnar epithelium, elongated hyperchromatic pseudostratified nuclei, and dilated irregular glandular lumina set in a pale stromal background",
HPC15,"Invasive colorectal adenocarcinoma with irregular malignant glands, hyperchromatic pleomorphic nuclei, prominent nucleoli, and Glandular lumen show necrosis. ",low
HPC16,"Mixed cluster showing smooth muscle bundles of muscularis propria intimately admixed with sheets of inflammatory cells and scattered hyperchromatic nuclei, suggesting tumor-infiltrating inflammatory response at the invasive front of colorectal carcinoma.",
HPC17,"Colonic muscularis propria with interlacing smooth muscle bundles, prominent fibrous septa, thick-walled vessels, and focal nerve fascicles, representing a deeper layer of the colonic wall",
HPC18,"Extensive necrotic debris with ghost cell outlines, karyorrhectic nuclear fragments, and scattered viable tumor cell clusters at the periphery, consistent with tumor necrosis in colorectal carcinoma.",
HPC19,Normal colonic wall ,
HPC20,"Normal colonic muscularis propria with uniform bland smooth muscle bundles in interlacing orientations, elongated cigar-shaped nuclei, and minimal intervening stroma.",
HPC21,Normal colon,
HPC22,Adipose tissue - pericolorectal/mesorectal adipose tissue with varying proportions of fat lobules,
HPC23,"Normal colonic mucosa with well-formed round to oval crypts lined by abundant goblet cells, maintained epithelial polarity, and orderly lamina propria, consistent with normal colon.",
HPC24,"Invasive adenocarcinoma with irregular malignant glands embedded in desmoplastic fibromuscular stroma, showing hyperchromatic nuclei, loss of polarity, and infiltrative growth pattern.",
HPC25,"Mixed cluster of normal colonic crypts with goblet cells and dysplastic glands showing hyperchromatic pseudostratified nuclei and reduced goblet cells, consistent with normal mucosa admixed with tubular adenoma fragments.",
HPC26,Normal colon,
HPC27,"Fibrovascular stroma with prominent thick-walled and thin-walled vessels containing red blood cells, scattered inflammatory cells, and bland fibroblasts, consistent with submucosal or peritumoral vascular-rich connective tissue.",
HPC28,"Paucicellular dense collagenous stroma with widely spaced bland fibroblasts, scattered small vessels, and rare inflammatory cells, consistent with pericolorectal or submucosal fibrosis/desmoplastic stroma",
HPC29,"Necrotic debris, and scattered tumor fragments, consistent with invasive tumor front with associated inflammation, necrosis.",
HPC30,"Cellular spindle cell proliferation with interlacing fascicles, mild nuclear pleomorphism, scattered inflammatory cells, and focal red cell extravasation, consistent with desmoplastic stroma or muscularis propria with reactive stromal changes at the tumor interface.",
HPC31,"Invasive adenocarcinoma with irregular malignant glands, hyperchromatic pleomorphic nuclei, prominent red cell extravasation, and desmoplastic stroma, consistent with  invasive colorectal carcinoma.",
HPC32,"Cellular spindle cell proliferation in interlacing fascicles with mild nuclear pleomorphism, scattered inflammatory cells, and focal vascular spaces, consistent with muscularis propria with reactive stromal changes or desmoplastic tumor stroma.",
HPC33,"Adipose tissue with large clear adipocyte vacuoles, thin fibrovascular septa, scattered bland fibroblasts, and small vessels, consistent with normal mesorectal fat.",
HPC34,Mainly necrosis with occasioval tile showing tumor ,
HPC35,"Fibrovascular connective tissue with bland spindle cells, thick collagen bundles, scattered small vessels with red cell extravasation, and focal adipocytes, consistent with pericolorectal or submucosal fibrovascular stroma.",
HPC36,"Fibrovascular connective tissue with bland spindle cells, thick collagen bundles, scattered small vessels with red cell extravasation, and focal adipocytes, consistent with pericolorectal or submucosal fibrovascular stroma.",
HPC37,"Crowded dysplastic glands with hyperchromatic pseudostratified nuclei, loss of goblet cells, and minimal intervening stroma, consistent with tubular adenoma.",
HPC38,"Normal colonic muscularis propria with bland smooth muscle bundles in interlacing orientations, scattered elongated nuclei, and small intervening capillaries.",
HPC39,Normal colon.,
HPC40,"Hypocellular desmoplastic stroma with dense fibrotic collagen bundles, widely spaced bland spindle cells, and minimal visible tumor epithelium, consistent with treatment-related or spontaneous stromal fibrosis surrounding colorectal carcinoma.",high
HPC41,Colorectal adenocarcinoma ,low
HPC42,"Invasive adenocarcinoma with irregular malignant glands, hyperchromatic pleomorphic nuclei, dilated lumina with intraluminal necrosis, and desmoplastic stromal background, consistent with moderately differentiated colorectal adenocarcinoma.",low
HPC43,"Invasive adenocarcinoma with irregular malignant glands, hyperchromatic pleomorphic nuclei, prominent intraluminal and stromal necrotic debris, and focal red cell extravasation, consistent with moderately to poorly differentiated colorectal carcinoma with necrosis.",
HPC44,Normal colon with mild hyperplastic change.,
HPC45,"Normal colonic muscularis propria with uniform bland smooth muscle bundles in interlacing orientations, elongated cigar-shaped nuclei, and minimal intervening stroma.",
HPC46,Normal colon,
HPC47,Colonic adenocarcinoma,
HPC48,Mainly tubular adenoma fragments with few tiles showing normal colon. ,
HPC49,Normal colon. ,
HPC50,Processing artifacts.,
HPC51,"Dense hyalinized collagenous stroma with prominent nerve fascicles, thick-walled vessels, and scattered bland fibroblasts, consistent with perineural fibrosis or submucosal/pericolorectal connective tissue",
HPC52,"Mixed cluster of normal goblet cell-rich colonic crypts admixed with dysplastic glands showing hyperchromatic pseudostratified nuclei and reduced mucin, consistent with normal mucosa transitioning to tubular adenoma.",
HPC53,Inflammatory cells with extravasated RBC s. ,
HPC54,Normal colon,
HPC55,"Sheets of poorly differentiated malignant cells with marked nuclear pleomorphism, prominent nucleoli, frequent mitoses, and minimal gland formation, consistent with poorly differentiated colorectal adenocarcinoma",
HPC56,Dirty necrosis in colorectal cancer,
HPC57,"Heterogeneous cluster with sparse epithelial fragments, smooth muscle bundles, scattered inflammatory cells, and pale stroma with tissue artifacts, consistent with tumor edge or transitional zone between normal and neoplastic tissue.",
HPC58,"Normal colonic surface mucosa with goblet cell-rich crypts intimately admixed with underlying adipose tissue, consistent with mucosal-submucosal interface or serosal surface tiles capturing both epithelium and pericolorectal fat.",
